REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND
NSW1,2022/09/18 00:00:00,7568
QLD1,2022/09/18 00:00:00,5575
SA1,2022/09/18 00:00:00,1578
TAS1,2022/09/18 00:00:00,1071
VIC1,2022/09/18 00:00:00,5349
NSW1,2022/09/18 00:30:00,7356
QLD1,2022/09/18 00:30:00,5399
SA1,2022/09/18 00:30:00,1551
TAS1,2022/09/18 00:30:00,1058
VIC1,2022/09/18 00:30:00,5172
NSW1,2022/09/18 01:00:00,7167
QLD1,2022/09/18 01:00:00,5269
SA1,2022/09/18 01:00:00,1551
TAS1,2022/09/18 01:00:00,1042
VIC1,2022/09/18 01:00:00,4968
NSW1,2022/09/18 01:30:00,6986
QLD1,2022/09/18 01:30:00,5187
SA1,2022/09/18 01:30:00,1503
TAS1,2022/09/18 01:30:00,1034
VIC1,2022/09/18 01:30:00,4831
NSW1,2022/09/18 02:00:00,6774
QLD1,2022/09/18 02:00:00,5106
SA1,2022/09/18 02:00:00,1462
TAS1,2022/09/18 02:00:00,1028
VIC1,2022/09/18 02:00:00,4623
NSW1,2022/09/18 02:30:00,6571
QLD1,2022/09/18 02:30:00,5055
SA1,2022/09/18 02:30:00,1386
TAS1,2022/09/18 02:30:00,1024
VIC1,2022/09/18 02:30:00,4475
NSW1,2022/09/18 03:00:00,6420
QLD1,2022/09/18 03:00:00,5042
SA1,2022/09/18 03:00:00,1329
TAS1,2022/09/18 03:00:00,1034
VIC1,2022/09/18 03:00:00,4381
NSW1,2022/09/18 03:30:00,6272
QLD1,2022/09/18 03:30:00,5010
SA1,2022/09/18 03:30:00,1294
TAS1,2022/09/18 03:30:00,1040
VIC1,2022/09/18 03:30:00,4296
NSW1,2022/09/18 04:00:00,6232
QLD1,2022/09/18 04:00:00,5005
SA1,2022/09/18 04:00:00,1265
TAS1,2022/09/18 04:00:00,1039
VIC1,2022/09/18 04:00:00,4255
NSW1,2022/09/18 04:30:00,6252
QLD1,2022/09/18 04:30:00,5033
SA1,2022/09/18 04:30:00,1235
TAS1,2022/09/18 04:30:00,1044
VIC1,2022/09/18 04:30:00,4241
NSW1,2022/09/18 05:00:00,6265
QLD1,2022/09/18 05:00:00,5048
SA1,2022/09/18 05:00:00,1236
TAS1,2022/09/18 05:00:00,1045
VIC1,2022/09/18 05:00:00,4204
NSW1,2022/09/18 05:30:00,6371
QLD1,2022/09/18 05:30:00,5103
SA1,2022/09/18 05:30:00,1230
TAS1,2022/09/18 05:30:00,1061
VIC1,2022/09/18 05:30:00,4260
NSW1,2022/09/18 06:00:00,6461
QLD1,2022/09/18 06:00:00,5124
SA1,2022/09/18 06:00:00,1238
TAS1,2022/09/18 06:00:00,1068
VIC1,2022/09/18 06:00:00,4313
NSW1,2022/09/18 06:30:00,6538
QLD1,2022/09/18 06:30:00,5099
SA1,2022/09/18 06:30:00,1252
TAS1,2022/09/18 06:30:00,1097
VIC1,2022/09/18 06:30:00,4445
NSW1,2022/09/18 07:00:00,6537
QLD1,2022/09/18 07:00:00,4952
SA1,2022/09/18 07:00:00,1286
TAS1,2022/09/18 07:00:00,1135
VIC1,2022/09/18 07:00:00,4534
NSW1,2022/09/18 07:30:00,6404
QLD1,2022/09/18 07:30:00,4851
SA1,2022/09/18 07:30:00,1271
TAS1,2022/09/18 07:30:00,1134
VIC1,2022/09/18 07:30:00,4564
NSW1,2022/09/18 08:00:00,6341
QLD1,2022/09/18 08:00:00,4641
SA1,2022/09/18 08:00:00,1273
TAS1,2022/09/18 08:00:00,1169
VIC1,2022/09/18 08:00:00,4646
NSW1,2022/09/18 08:30:00,6339
QLD1,2022/09/18 08:30:00,4440
SA1,2022/09/18 08:30:00,1256
TAS1,2022/09/18 08:30:00,1182
VIC1,2022/09/18 08:30:00,4742
NSW1,2022/09/18 09:00:00,6169
QLD1,2022/09/18 09:00:00,4232
SA1,2022/09/18 09:00:00,1183
TAS1,2022/09/18 09:00:00,1177
VIC1,2022/09/18 09:00:00,4813
NSW1,2022/09/18 09:30:00,6007
QLD1,2022/09/18 09:30:00,4074
SA1,2022/09/18 09:30:00,1078
TAS1,2022/09/18 09:30:00,1184
VIC1,2022/09/18 09:30:00,4878
NSW1,2022/09/18 10:00:00,5752
QLD1,2022/09/18 10:00:00,3888
SA1,2022/09/18 10:00:00,1086
TAS1,2022/09/18 10:00:00,1182
VIC1,2022/09/18 10:00:00,4928
NSW1,2022/09/18 10:30:00,5514
QLD1,2022/09/18 10:30:00,3710
SA1,2022/09/18 10:30:00,991
TAS1,2022/09/18 10:30:00,1187
VIC1,2022/09/18 10:30:00,4824
NSW1,2022/09/18 11:00:00,5248
QLD1,2022/09/18 11:00:00,3559
SA1,2022/09/18 11:00:00,864
TAS1,2022/09/18 11:00:00,1193
VIC1,2022/09/18 11:00:00,4766
NSW1,2022/09/18 11:30:00,5094
QLD1,2022/09/18 11:30:00,3522
SA1,2022/09/18 11:30:00,826
TAS1,2022/09/18 11:30:00,1181
VIC1,2022/09/18 11:30:00,4686
NSW1,2022/09/18 12:00:00,4974
QLD1,2022/09/18 12:00:00,3477
SA1,2022/09/18 12:00:00,713
TAS1,2022/09/18 12:00:00,1170
VIC1,2022/09/18 12:00:00,4518
NSW1,2022/09/18 12:30:00,4923
QLD1,2022/09/18 12:30:00,3470
SA1,2022/09/18 12:30:00,732
TAS1,2022/09/18 12:30:00,1162
VIC1,2022/09/18 12:30:00,4366
NSW1,2022/09/18 13:00:00,4936
QLD1,2022/09/18 13:00:00,3501
SA1,2022/09/18 13:00:00,715
TAS1,2022/09/18 13:00:00,1164
VIC1,2022/09/18 13:00:00,4294
NSW1,2022/09/18 13:30:00,4982
QLD1,2022/09/18 13:30:00,3598
SA1,2022/09/18 13:30:00,643
TAS1,2022/09/18 13:30:00,1183
VIC1,2022/09/18 13:30:00,4330
NSW1,2022/09/18 14:00:00,5091
QLD1,2022/09/18 14:00:00,3757
SA1,2022/09/18 14:00:00,693
TAS1,2022/09/18 14:00:00,1185
VIC1,2022/09/18 14:00:00,4317
NSW1,2022/09/18 14:30:00,5275
QLD1,2022/09/18 14:30:00,3982
SA1,2022/09/18 14:30:00,758
TAS1,2022/09/18 14:30:00,1185
VIC1,2022/09/18 14:30:00,4395
NSW1,2022/09/18 15:00:00,5487
QLD1,2022/09/18 15:00:00,4290
SA1,2022/09/18 15:00:00,781
TAS1,2022/09/18 15:00:00,1182
VIC1,2022/09/18 15:00:00,4703
NSW1,2022/09/18 15:30:00,5867
QLD1,2022/09/18 15:30:00,4681
SA1,2022/09/18 15:30:00,776
TAS1,2022/09/18 15:30:00,1178
VIC1,2022/09/18 15:30:00,4826
NSW1,2022/09/18 16:00:00,6344
QLD1,2022/09/18 16:00:00,5110
SA1,2022/09/18 16:00:00,953
TAS1,2022/09/18 16:00:00,1189
VIC1,2022/09/18 16:00:00,4753
NSW1,2022/09/18 16:30:00,6839
QLD1,2022/09/18 16:30:00,5564
SA1,2022/09/18 16:30:00,1099
TAS1,2022/09/18 16:30:00,1203
VIC1,2022/09/18 16:30:00,4951
NSW1,2022/09/18 17:00:00,7389
QLD1,2022/09/18 17:00:00,6032
SA1,2022/09/18 17:00:00,1226
TAS1,2022/09/18 17:00:00,1247
VIC1,2022/09/18 17:00:00,5237
NSW1,2022/09/18 17:30:00,7861
QLD1,2022/09/18 17:30:00,6341
SA1,2022/09/18 17:30:00,1376
TAS1,2022/09/18 17:30:00,1305
VIC1,2022/09/18 17:30:00,5640
NSW1,2022/09/18 18:00:00,8429
QLD1,2022/09/18 18:00:00,6521
SA1,2022/09/18 18:00:00,1516
TAS1,2022/09/18 18:00:00,1365
VIC1,2022/09/18 18:00:00,5994
NSW1,2022/09/18 18:30:00,8896
QLD1,2022/09/18 18:30:00,6719
SA1,2022/09/18 18:30:00,1640
TAS1,2022/09/18 18:30:00,1391
VIC1,2022/09/18 18:30:00,6267
NSW1,2022/09/18 19:00:00,8995
QLD1,2022/09/18 19:00:00,6742
SA1,2022/09/18 19:00:00,1774
TAS1,2022/09/18 19:00:00,1409
VIC1,2022/09/18 19:00:00,6363
NSW1,2022/09/18 19:30:00,8889
QLD1,2022/09/18 19:30:00,6548
SA1,2022/09/18 19:30:00,1836
TAS1,2022/09/18 19:30:00,1398
VIC1,2022/09/18 19:30:00,6287
NSW1,2022/09/18 20:00:00,8707
QLD1,2022/09/18 20:00:00,6529
SA1,2022/09/18 20:00:00,1808
TAS1,2022/09/18 20:00:00,1374
VIC1,2022/09/18 20:00:00,6213
NSW1,2022/09/18 20:30:00,8541
QLD1,2022/09/18 20:30:00,6564
SA1,2022/09/18 20:30:00,1785
TAS1,2022/09/18 20:30:00,1358
VIC1,2022/09/18 20:30:00,6068
NSW1,2022/09/18 21:00:00,8417
QLD1,2022/09/18 21:00:00,6430
SA1,2022/09/18 21:00:00,1748
TAS1,2022/09/18 21:00:00,1334
VIC1,2022/09/18 21:00:00,5944
NSW1,2022/09/18 21:30:00,8219
QLD1,2022/09/18 21:30:00,6231
SA1,2022/09/18 21:30:00,1706
TAS1,2022/09/18 21:30:00,1292
VIC1,2022/09/18 21:30:00,5817
NSW1,2022/09/18 22:00:00,7970
QLD1,2022/09/18 22:00:00,6070
SA1,2022/09/18 22:00:00,1650
TAS1,2022/09/18 22:00:00,1242
VIC1,2022/09/18 22:00:00,5615
NSW1,2022/09/18 22:30:00,7866
QLD1,2022/09/18 22:30:00,5906
SA1,2022/09/18 22:30:00,1571
TAS1,2022/09/18 22:30:00,1217
VIC1,2022/09/18 22:30:00,5432
NSW1,2022/09/18 23:00:00,7651
QLD1,2022/09/18 23:00:00,5784
SA1,2022/09/18 23:00:00,1495
TAS1,2022/09/18 23:00:00,1168
VIC1,2022/09/18 23:00:00,5224
NSW1,2022/09/18 23:30:00,7578
QLD1,2022/09/18 23:30:00,5715
SA1,2022/09/18 23:30:00,1415
TAS1,2022/09/18 23:30:00,1152
VIC1,2022/09/18 23:30:00,5277
NSW1,2022/09/19 00:00:00,7443
QLD1,2022/09/19 00:00:00,5549
SA1,2022/09/19 00:00:00,1529
TAS1,2022/09/19 00:00:00,1129
VIC1,2022/09/19 00:00:00,5143
NSW1,2022/09/19 00:30:00,7287
QLD1,2022/09/19 00:30:00,5366
SA1,2022/09/19 00:30:00,1544
TAS1,2022/09/19 00:30:00,1114
VIC1,2022/09/19 00:30:00,4996
NSW1,2022/09/19 01:00:00,7168
QLD1,2022/09/19 01:00:00,5250
SA1,2022/09/19 01:00:00,1540
TAS1,2022/09/19 01:00:00,1090
VIC1,2022/09/19 01:00:00,4859
NSW1,2022/09/19 01:30:00,6966
QLD1,2022/09/19 01:30:00,5192
SA1,2022/09/19 01:30:00,1490
TAS1,2022/09/19 01:30:00,1074
VIC1,2022/09/19 01:30:00,4728
