sku_id,weekenddt,qtysold,qtyinstock,qtyorder,unit,avg_lead_days,max_lead_days,unit_price,category,product,loc
3619CA,25/06/2023,8,29,6,Unit,15,22,13.00,Accessories,Furniture Leg Pads,NSW
3616CA,25/06/2023,2,10,4,Unit,120,167,22.00,Accessories,Countertop Sealer,NSW
3610AA,25/06/2023,12,30,1,Unit,120,188,5.00,Accessories,Cabinet Shelf Supports,QLD
3551CA,25/06/2023,4,27,3,Unit,20,31,5.00,Accessories,Furniture Lacquer,QLD
3345AA,25/06/2023,11,15,1,Unit,40,61,11.00,Accessories,Polishing Compound,NSW
3332CA,25/06/2023,22,24,6,Unit,30,46,28.00,Accessories,Safety rail,NSW
3322AA,25/06/2023,30,25,5,Unit,60,90,21.00,Accessories,Acrylic Gloss Finish,NSW
3312AA,25/06/2023,17,29,7,Unit,60,84,18.00,Accessories,Universal bracket,NSW
3300CA,25/06/2023,26,13,5,Unit,30,42,17.00,Accessories,Cranked hook,NSW
3205AA,25/06/2023,20,56,3,Unit,60,91,11.00,Accessories,Door Frame Trim,NSW
3193AA,25/06/2023,27,4,0,Unit,15,22,16.00,Accessories,Door Latch Plate,NSW
3178CA,25/06/2023,15,3,4,Unit,30,47,6.00,Accessories,Door Lock Installation Kit,NSW
3177CA,25/06/2023,24,37,7,Unit,30,42,10.00,Accessories,Window Lock Key,QLD
3161BA,25/06/2023,11,45,2,Unit,30,48,16.00,Accessories,Window Latch Handle,QLD
3160BA,25/06/2023,2,18,5,Unit,30,46,17.00,Accessories,Window Frame Hardware,QLD
3143CA,25/06/2023,5,2,7,Unit,30,41,9.00,Accessories,Window Locking Mechanism,QLD
3138CA,25/06/2023,1,2,0,Unit,15,21,27.00,Accessories,Outdoor Glass Paneling,QLD
3132BA,25/06/2023,5,45,2,Unit,15,24,19.00,Accessories,Glass Table Frame,QLD
3126BA,25/06/2023,7,37,0,Unit,60,82,12.00,Accessories,Countertop Glass Surface,NSW
3075AA,25/06/2023,5,27,4,Unit,30,47,16.00,Accessories,Door Latch Mechanism,QLD
3053AA,25/06/2023,6,52,7,Unit,15,23,18.00,Accessories,Window Screen Frame,QLD
3044AA,25/06/2023,6,50,0,Unit,15,21,7.00,Accessories,Window Lock System,QLD
3038BA,25/06/2023,9,57,3,Unit,15,22,6.00,Accessories,Outdoor Glass Panels,QLD
3027CA,25/06/2023,4,40,2,Unit,30,46,12.00,Accessories,Glass Tabletop,QLD
3025CA,25/06/2023,10,49,7,Unit,30,45,17.00,Accessories,Glass Countertop,QLD
3016BA,25/06/2023,7,10,4,Unit,60,79,26.00,Accessories,Glass Cabinet Door,QLD
3007CA,25/06/2023,5,37,3,Unit,30,47,14.00,Accessories,Glass Door Panel,NSW
3006CA,25/06/2023,1,38,7,Unit,60,79,5.00,Accessories,Glass Window Pane,NSW
3003AA,25/06/2023,2,12,7,Unit,30,44,7.00,Accessories,Bathroom Door Lock,NSW
2994CA,25/06/2023,13,0,5,Unit,30,48,24.00,Parts,Futon Parts,NSW
2988AA,25/06/2023,5,50,0,Unit,30,40,8.00,Parts,Futon Accessories,NSW
2987AA,25/06/2023,10,3,3,Unit,30,43,28.00,Parts,Headboard slat,QLD
2982AA,25/06/2023,7,12,2,Unit,30,48,25.00,Parts,Bed frame cleat,QLD
2977BA,25/06/2023,14,46,5,Unit,60,89,12.00,Parts,Bed Upholstery,NSW
2970CA,25/06/2023,2,13,4,Unit,60,96,27.00,Parts,Dresser Decor,NSW
